Method='Second max',,,,,,,,
Novel class='SKY',,,,,,,,
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR
,,,,,,,,
374,88,68,67,98.529412,95.454545,1.470588,10,5.681818
192,39,28,27,96.428571,84.615385,3.571429,9.090909,15.384615
190,41,30,29,96.666667,90.243902,3.333333,9.090909,9.756098
189,42,32,31,96.875,95.238095,3.125,20,7.142857
187,44,34,33,97.058824,93.181818,2.941176,10,6.818182
188,43,33,33,100,83.72093,0,10,16.27907
185,46,36,35,97.222222,93.478261,2.777778,0,4.347826
,,,,,,,,
Novel class='SKY,CEMENT',,,,,,,
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR
,,,,,,,,
,,,,,,,,
875,396,349,183,52.43553,57.575758,47.56447,10.638298,43.434343
865,406,360,192,53.333333,57.881773,46.666667,2.173913,42.118227
861,410,364,193,53.021978,56.585366,46.978022,10.869565,44.390244
849,422,377,174,46.153846,50.473934,53.846154,4.444444,49.763033
872,399,353,199,56.373938,60.651629,43.626062,6.521739,39.849624
1253,1027,963,906,91.080997,94.157741,8.919003,4.6875,6.037001

Novel class='SKY,PATH,CEMENT',
Train_data,Test_data_number,novel_data_number,detected_novel_data_number,novel_class_accuracy,accuracy,Mnew,Fnew,ERR
,,,,,,,,
1121,958,898,788,87.750557,88.100209,12.249443,6.666667,12.212944
1219,1022,957,639,66.77116,68.688845,33.22884,10.769231,31.898239
1214,1027,963,906,94.080997,94.157741,5.919003,4.6875,6.037001
1213,1028,964,852,88.381743,88.618677,11.618257,6.25,11.673152
1217,1024,959,646,67.361835,69.042969,32.638165,4.615385,31.152344
